Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Cerebellum,FA,ENSMUSG00000031879,Ciao2b,68523,-0.401958681158248,0.0257095766904483,0.259512716905156,1,1,9
Cerebellum,FA,ENSMUSG00000025384,Faap100,71885,-0.0667726790149013,0.787220454733433,0.965781810359296,1,1,9
Cerebellum,FA,ENSMUSG00000073684,Faap20,67513,-0.192975220595094,0.3584596418257,0.815345723049703,1,1,9
Cerebellum,FA,ENSMUSG00000030493,Faap24,101831,-0.1257332614018,0.470207044893112,0.873134954983804,1,1,9
Cerebellum,FA,ENSMUSG00000034023,Fancd2,211651,0.0947920027743107,0.765999045639664,0.961116370423627,1,1,9
Cerebellum,FA,ENSMUSG00000039187,Fanci,208836,-0.0511494340946325,0.819784120347437,0.972800870436186,1,1,9
Colon,BER,ENSMUSG00000029591,Ung,22256,0.134033873355053,0.567557982557359,1.0,1,1,4
Colon,BER,ENSMUSG00000030271,Ogg1,18294,-0.0565955709418921,0.742828699507182,1.0,1,1,4
Colon,BER,ENSMUSG00000032298,Neil1,72774,-0.44738142045568,0.0121366045647137,1.0,1,1,4
Colon,BER,ENSMUSG00000035960,Apex1,11792,0.0643822183239355,0.87876310732213,1.0,1,1,4
Colon,BER,ENSMUSG00000002963,Pnkp,59047,-0.0787940331825043,0.618378717473419,1.0,1,1,4
Colon,BER,ENSMUSG00000024742,Fen1,14156,0.160182874877605,0.653976261802445,1.0,1,1,4
Colon,NER,ENSMUSG00000028329,Xpa,22590,0.177482793894363,0.529252067556568,1.0,1,1,4
Colon,NER,ENSMUSG00000030094,Xpc,22591,0.0838451476287527,0.572939375625129,1.0,1,1,4
Colon,NER,ENSMUSG00000028426,Rad23b,19359,0.308667854881296,0.217441663156158,1.0,1,1,4
Colon,NER,ENSMUSG00000031347,Cetn2,26370,-0.0027892304950731,0.989949426396481,1.0,1,1,4
Colon,NER,ENSMUSG00000021694,Ercc8,71991,0.0381632937102962,0.814153461452127,1.0,1,1,4
Colon,NER,ENSMUSG00000054051,Ercc6,319955,-0.261806777672724,0.197000979629697,1.0,1,1,4
Colon,NER,ENSMUSG00000024740,Ddb1,13194,0.27752361248036,0.0782025418982194,1.0,1,1,4
Colon,NER,ENSMUSG00000002109,Ddb2,107986,-0.0786202026237347,0.665271065964923,1.0,1,1,4
Colon,NER,ENSMUSG00000024382,Ercc3,13872,0.170409984297016,0.27835606207511,1.0,1,1,4
Colon,NER,ENSMUSG00000030400,Ercc2,13871,-0.299053032771128,0.150711149084647,1.0,1,1,4
Colon,NER,ENSMUSG00000034345,Gtf2h5,66467,0.0830540088641416,0.769061589937648,1.0,1,1,4
Colon,NER,ENSMUSG00000029387,Gtf2h3,209357,0.22478166477644,0.36002825274361,1.0,1,1,4
Colon,NER,ENSMUSG00000021639,Gtf2h2,23894,-0.339268034172791,0.0719686873916305,1.0,1,1,4
Colon,NER,ENSMUSG00000001524,Gtf2h4,14885,0.0550652592071443,0.828117545172164,1.0,1,1,4
Colon,NER,ENSMUSG00000006599,Gtf2h1,14884,0.282413241641509,0.136401229283541,1.0,1,1,4
Colon,NER,ENSMUSG00000003549,Ercc1,13870,-0.0932399099271179,0.687453431418212,1.0,1,1,4
Colon,NER,ENSMUSG00000022545,Ercc4,50505,-0.317881475981191,0.0556359066174213,1.0,1,1,4
Colon,NER,ENSMUSG00000026048,Ercc5,22592,-0.112972636372335,0.427553355304868,1.0,1,1,4
Colon,MMR,ENSMUSG00000032498,Mlh1,17350,0.537278844162913,0.228023701273316,1.0,1,1,4
Colon,MMR,ENSMUSG00000024151,Msh2,17685,-0.267575360858605,0.347385130680554,1.0,1,1,4
Colon,MMR,ENSMUSG00000014850,Msh3,17686,-0.0945750620669213,0.521008983863989,1.0,1,1,4
Colon,MMR,ENSMUSG00000005370,Msh6,17688,-0.0619372017581887,0.800439045296202,1.0,1,1,4
Colon,MMR,ENSMUSG00000079109,Pms2,18861,-0.0925595223044502,0.600857842298827,1.0,1,1,4
Colon,FA,ENSMUSG00000032815,Fanca,14087,-0.428160696156994,0.315349946949397,1.0,1,1,4
Colon,FA,ENSMUSG00000047757,Fancb,237211,0.0583105601327348,0.868886539244364,1.0,1,1,4
Colon,FA,ENSMUSG00000021461,Fancc,14088,-0.227545829730699,0.492019026532754,1.0,1,1,4
Colon,FA,ENSMUSG00000007570,Fance,72775,-0.0569233777303426,0.815079099659242,1.0,1,1,4
Colon,FA,ENSMUSG00000092118,Fancf,100040608,0.235958766294698,0.285490316940754,1.0,1,1,4
Colon,FA,ENSMUSG00000028453,Fancg,60534,-0.178724680225074,0.567482720749139,1.0,1,1,4
Colon,FA,ENSMUSG00000004018,Fancl,67030,0.031363981130777,0.881787614080106,1.0,1,1,4
Colon,FA,ENSMUSG00000026429,Ube2t,67196,-0.411905186874252,0.211034989472216,1.0,1,1,4
Colon,FA,ENSMUSG00000055884,Fancm,104806,0.0037750751139238,0.988249320557021,1.0,1,1,4
Colon,FA,ENSMUSG00000003662,Ciao1,26371,0.320206634822325,0.180401778245343,1.0,1,1,4
Colon,FA,ENSMUSG00000031879,Ciao2b,68523,0.186446605543256,0.510668494532341,1.0,1,1,4
Colon,FA,ENSMUSG00000025384,Faap100,71885,0.0225283793540072,0.919282098336549,1.0,1,1,4
Colon,FA,ENSMUSG00000073684,Faap20,67513,0.165145715963989,0.473495417541388,1.0,1,1,4
